Buyer ,Style,Color,Item,Rejection,Rejection
JACK & JONES,12300821,SQ 382,DLP,,0
JACK & JONES,12300823,SQ 752,DLP,,0
JACK & JONES,12300823,SQ 752,DLP,,0
JACK & JONES,12300824,SQ 753,DLP,,0
JACK & JONES,12300824,SQ 753,DLP,,0
JACK & JONES,12300825,SQ 754,DLP,,0
JACK & JONES,12300939,SQ 761,DLP,,0
JACK & JONES,12300939,SQ 761,DLP,,0
JACK & JONES,12300948,SQ 032,DLP,,0
JACK & JONES,12303793,SQ 351,DLP,,0
JACK & JONES,12303797,SQ 735,DLP,,0
JACK & JONES,12303799,SQ 737,DLP,,0
JACK & JONES,12307487,MF 772,DLP,,0
JACK & JONES,12307680,SQ 223,DLP,,0
JACK & JONES,12307680,SQ 260,DLP,,0
JACK & JONES,12307688,SQ 734,DSP,,0
JACK & JONES,12307723,SQ 223,DLP,,0
JACK & JONES,12307723,SQ 260,DLP,,0
JACK & JONES,12310288,SQ 851,DLP,,0
JACK & JONES,12310289,SQ 852,DLP,,0
JACK & JONES,12300584,R063,DLP,,0
JACK & JONES,12301173,BLACK,DLP,,0
JACK & JONES,12302336,MR6001,DLP,,0
KMART,05NS26YOU046,DARK WASH,DSP,,0
KMART,05NS26YOU046,MID WASH,DSP,,0
KMART,05NS26YOU429,DARK WASH,DSP,,0
KMART,05NS26YOU429,LIGHT WASH,DSP,,0
KMART,92NSJJR1K647,BLACK WASH,DLP,,0
KMART,92NSJJR1K647,MID TINT,DLP,,0
KMART,92NSJJRITD5H,BLACK FADE WASH,DLP,,0
KMART,92NSJJRITD5H,GREY WASH,DLP,,0
KMART,92NSJJRITD5H,MID WASH,DLP,,0
KMART,92NSJJRITD5H,MID WASH,DLP,,0
KMART,92NSJJSJV4KT,LIGHT WASH,DLP,,0
KMART,92NSJJSJV4KT,MID WASH,DLP,,0
KMART,92NSWDJ065,BLACK,DLP,,0
KMART,92NSWDJ065,DARK WASH,DLP,,0
KMART,92NSWDJ092,Black,DLP,,0
KMART,92NSWDJ092,Black,DLP,,0
KMART,92NSWDJ092,BLACK BLUE WASH,DLP,,0
KMART,92NSWDJ092,BLACK BLUE WASH,DLP,,0
KMART,92NSWDJ092,BRN BARK,DYLP,,0
KMART,92NSWDJ092,MID WASH,DLP,,0
KMART,03NS26YBO308,BLACK WASH,DLP,,0
KMART,03NS26YBO308,LIGHT WASH,DLP,,0
KMART,03NS26YBO308,LIGHT WASH,DLP,,0
KMART,03NS26YBO308,WHITE WASH,DYLP,,0
KMART,92S26SHO705,BLACK WASH,DSP,,0
KMART,03NS26YBO084,MID WASH,DLP,,0
KMART,03NS26YBO308,DARK WASH,DLP,,0
KMART,92NSJJRITD5H,BLACK FADE WASH,DLP,,0
KMART,92NSJJRITD5H,MID WASH,DLP,,0
KMART,92NSJJRITD5H,MID WASH,DLP,,0
KMART,92NSWDJ092,BLACK,DLP,,0
KMART,92NSWDJ092,BLACK BLUE WASH,DLP,,0
KMART,92NSWDJ092,BLACK WASH,DLP,,0
KMART,92NSWDJ092,MID WASH,DLP,,0
KMART,92NSJJR1K647,BLACK WASH,DLP,,0
KMART,92NSWDJ065,BLACK,DLP,,0
KMART,92NSWDJ065,DARK WASH,DLP,,0
KMART,92NSWDJ065,DARK WASH,DLP,,0
KMART,92NSWDJ092,DARK WASH,DLP,,0
KMART,92NSWDJ092,GREY WASH,DLP,,0
KMART,92NSWDJ092,LT WASH,DLP,,0
KMART,92NSWDJ092,MID WASH,DLP,,0
KOHL?S,JG32D225RW26,TRUE BLK,DLP,,0
KOHL?S,JG32D225RW35,LT VINTAGE,DLP,,0
KOHL?S,JG32D225RW37,MED VNTAGE,DLP,,0
KOHL?S,JG32D225RW41,CLN DRK,DLP,,0
KOHL?S,JG5HD130RW10,DARK,DSP,,0
KOHL?S,JG5HD130RW10,DARK,DSP,,0
KOHL?S,JG5HD130RW11,MEDIUM,DSP,,0
KOHL?S,JG5HD130RW11,MEDIUM,DSP,,0
KOHL?S,JG5HD130RW12,MED TNT DT,DSP,,0
KOHL?S,JG5HD130RW12,MED TNT DT,DSP,,0
KOHL?S,JG5HD130RW13,DEST LT,DSP,,0
KOHL?S,JG5HD130RW13,DEST LT,DSP,,0
KOHL?S,JG5HD130RW13,DEST LT,DSP,,0
KOHL?S,JG5HD130RW4,BLACK,DSP,,0
KOHL?S,JG5HD130RW8,SUPERLIGHT,DSP,,0
KOHL?S,JG5HD130RW8,SUPERLIGHT,DSP,,0
KOHL?S,JG5HD130RW8,SUPERLIGHT,DSP,,0
KOHL?S,JG5HD130RW9,MED DEST,DSP,,0
KOHL?S,JG5HD130RW9,MED DEST,DSP,,0
KOHL?S,JG5HD130RW9,MED DEST,DSP,,0
KOHL?S,JG5HD130RW9,MED DEST,DSP,,0
KOHL?S,JG6SD020RW,LIGHT,DSP,,0
KOHL?S,JG6SD020RW1,LT MED,DSP,,0
KOHL?S,JG6SD020RW2,DARK,DSP,,0
KOHL?S,WW5HD603PW3,MD WSH BLS,DLP,,0
KOHL?S,WW5HD603PW4,RNS DP 275,DLP,,0
KOHL?S,WW5HD603PW5,MNERAL BLK,DLP,,0
KOHL?S,WW5HD603PW5,MNERAL BLK,DLP,,0
KOHL?S,WW5HD604PW3,MD WSH BLS,DLP,,0
KOHL?S,WW5HD604PW4,RNS DP 275,DLP,,0
KOHL?S,WW5HD604PW5,MNERAL BLK,DLP,,0
KOHL?S,WW6UD606RW,DARK RINSE DENIM,DLP,,0
KOHL?S,ES42D900HS1,DP1007,DLP,,0
KOHL?S,ES42D900HW2,DP1008,DLP,,0
KOHL?S,ES42D900HW4,MATCH DP17,DLP,,0
KOHL?S,ES42D900HW5,DP1676,DLP,,0
KOHL?S,ES42D900RS1,DP1007,DLP,,0
KOHL?S,ES42D900RW2,DP1008,DLP,,0
KOHL?S,ES42D900RW4,MATCH DP17,DLP,,0
KOHL?S,ES42D900RW5,DP1676,DLP,,0
KOHL?S,ES42D901RS1,DP1007,DLP,,0
KOHL?S,ES42D901RW1,MATCH1672,DLP,,0
KOHL?S,ES42D901RW2,DP1008,DLP,,0
KOHL?S,ES42D901RW7,DP1016,DLP,,0
KOHL?S,ES51D903RW4,DP1796,DLP,,0
KOHL?S,ES51D903RW6,DP1009,DLP,,0
KOHL?S,ES51D904RS1,DP1007,DLP,,0
KOHL?S,ES51D904RW1,MATCH1672,DLP,,0
KOHL?S,ES51D904RW2,DP1008,DLP,,0
KOHL?S,ES51D904RW5,DP1676,DLP,,0
KOHL?S,ES51D904RW7,DP1016,DLP,,0
KOHL?S,ES51D905RW3,DP1004,DLP,,0
KOHL?S,ES51D905RW8,MATCH 1668,DLP,,0
KOHL?S,ES51D905RW9,MATCH 1674,DLP,,0
KONTOOR,2003517,INDY,DLP,,0
KONTOOR,2009023,VINTAGE STONE,DLP,,0
KONTOOR,2025553,ICEY BLUE,DLP,,0
KONTOOR,2028900,STEADFAST,DLP,,0
KONTOOR,2028900,STEADFAST,DLP,,0
KONTOOR,3088936,JUN IPER,DLP,,0
KONTOOR,3412535,SEATTLE,DLP,,0
KONTOOR,3413036,JUNI PER,DLP,,0
KONTOOR,112338881,BLUE FORMAT,DLP,,0
KONTOOR,112343885,TRUE BLUE,DLP,,0
KONTOOR,112382918,BLUE CRUSH,DLP,,0
KONTOOR,112382918,BLUE CRUSH,DLP,,0
KONTOOR,112382925,HARMONIOUS,DLP,,0
KONTOOR,112382957,RESTFUL NIGHT,DLP,,0
KONTOOR,112382960,BRAND LOYAL,DLP,,0
KONTOOR,112390655,STEEL_ASH,DLP,,0
KONTOOR,3413036-1,JUNIP ER,DLP,,0
MICHAEL KORS,CT6900UHNG,ECRU,DYLP,,0
MICHAEL KORS,CT6905BHNG,ECRU,DY Jacket,,0
MICHAEL KORS,CT6905BHNG,ECRU,DY Jacket,,0
MICHAEL KORS,QT610BXL0J,CLSSC LTWSH,D Jacket,,0
MICHAEL KORS,QT610BXL0J,LTSUNBLCHWSH,D Jacket,,0
MICHAEL KORS,QT610BXL0J,LTSUNBLCHWSH,D Jacket,,0
MICHAEL KORS,QT6411AGZB,LTSUNBLCHWSH,D TOPS,,0
MICHAEL KORS,QT6411AGZB,MED HRTGWSH,D Skirt,,0
NEXT,DC9822-LN,MFLEX AIR DRTBLU,DLP,,0
NEXT,DC8905,JRSY CR STONE SL,DYLP,,0
NEXT,DC8905,JRSY CR STONE SL,DYLP,,0
NEXT,DC8905,JRSY CR STONE SL,DYLP,,0
NEXT,DC9793,JRSY CR TAUPE SL,DYLP,,0
PIONEER JEANS,CURTI13621.8003,2209,DYSP,,0
PIONEER JEANS,CURTI13621.8003,6300,DYSP,,0
PIONEER JEANS,RANDO16801.6588,6811,DLP,,0
PIONEER JEANS,RANDO16801.6588,6821,DLP,,0
PIONEER JEANS,RANDO16801.6688,6800,DLP,,0
PIONEER JEANS,RANDO16801.6688,6800,DLP,,0
PIONEER JEANS,RANDO16801.6744,9800,DLP,,0
PULL&BEAR,3660/523,400 - BLUE,TYLP,,0
PULL&BEAR,3666/512,427-MED BLUE,DSP,,0
PULL&BEAR,3666/512,434 - INDIG-CLA,DSP,,0
TOM TAILOR,1051188-II,10218,DLP,,0
TOM TAILOR,1051492B1,10115,DLP,,0
VARNER,7381744,005/PRINT,DLP,,0
VARNER,7382506,522/LT. DENIM B,DSP,,0
VARNER,7382556,523/LIGHT WORN,DLP,,0
VARNER,7382835,584/DARK DENIM,DLP,,0
VARNER,7382836,905/FADED DENIM,DLP,,0
ZARA,3607/111 S,250 - WHITE,DYLP,,0
ZARA,3607/111 S,250 - WHITE,DYLP,,0
ZARA,3607/111 S,250 - WHITE,DYLP,,0
ZARA,3607/111 S,250 - WHITE,DYLP,,0
ZARA,3607/001/406,406 - LIGHTBLUE,DSP,,0
ZARA,3607/001/406,406 - LIGHTBLUE,DSP,,0
ZARA,3607/001/406,406 - LIGHTBLUE,DSP,,0
ZARA,3607/001/406,406 - LIGHTBLUE,DSP,,0
ZARA,3607/003/485,485 - BLUE/GREY,DSP,,0
ZARA,3607/003/485,485 - BLUE/GREY,DSP,,0
ZARA,3607/003/485,485 - BLUE/GREY,DSP,,0
ZARA,3607/005/406,406 - LIGHTBLUE,DSP,,0
ZARA,3607/005/406,406 - LIGHTBLUE,DSP,,0
ZARA,3607/005/406,406 - LIGHTBLUE,DSP,,0
ZARA,3607/005/406,406 - LIGHTBLUE,DSP,,0
ZARA,3607/005/406,406 - LIGHTBLUE,DSP,,0
ZARA,3607/005/406,406 - LIGHTBLUE,DSP,,0
ZARA,3607/005/406,406 - LIGHTBLUE,DSP,,0
ZARA,3607/016/407,407 - DARK BLUE,DLP,,0
ZARA,3607/016/407,407 - DARK BLUE,DLP,,0
ZARA,3607/220/800 W,800 - BLACK,DLP,,0
ZARA,3607/220/800 W,800 - BLACK,DLP,,0
ZARA,3607/220/800 W,800 - BLACK,DLP,,0
ZARA,3607/220/800 W,800 - BLACK,DLP,,0
ZXY-PREMIER,AQ059,STAY BLACK,TYLP,,0
Grand Total,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
